test_root_path: /root/autodl-tmp/Stark/test/tracking_results/stark_st/baseline_R101
Subfolder: /root/autodl-tmp/Stark/data/Anti-UAV/test/20190926_134054_1_7
acc: 0.6340670980604184

Subfolder: /root/autodl-tmp/Stark/data/Anti-UAV/test/20190926_134054_1_8
acc: 0.6416608652209038

Subfolder: /root/autodl-tmp/Stark/data/Anti-UAV/test/20190926_134054_1_9
acc: 0.612266424557425

Mean acc: 0.5372775251160188
